Frequency, Real, Imaginer, Impedance
20000, 89, 32, 1003.00
21000, 94, 32, 1000.20
22000, 99, 33, 1009.15
23000, 103, 35, 1003.00
24000, 106, 39, 1006.10
25000, 111, 43, 1007.87
26000, 116, 47, 992.57
27000, 118, 46, 1005.90
28000, 121, 57, 1016.23
29000, 126, 59, 999.57
30000, 128, 61, 1003.00
31000, 132, 65, 1006.03
32000, 135, 70, 1006.05
33000, 137, 73, 1005.70
34000, 142, 75, 987.00
35000, 144, 81, 1005.99
36000, 150, 90, 1007.92
37000, 151, 94, 1003.00
38000, 153, 94, 1012.54
39000, 154, 100, 1015.14
40000, 158, 106, 1005.95
41000, 158, 112, 991.16
42000, 160, 114, 989.46
43000, 162, 122, 1006.96
44000, 169, 126, 992.53
45000, 168, 129, 1004.28
46000, 169, 137, 1007.30
47000, 169, 140, 1010.06
48000, 174, 147, 996.29
49000, 174, 153, 990.40
50000, 172, 157, 993.50
