Frequency, Real, Imaginer, Impedance
20000, 6146, -19387, 447.26
21000, 6460, -19287, 447.24
22000, 6746, -19185, 447.26
23000, 7048, -19075, 447.10
24000, 7333, -18960, 447.02
25000, 7637, -18842, 446.88
26000, 7907, -18723, 446.77
27000, 8186, -18601, 446.88
28000, 8459, -18466, 446.62
29000, 8736, -18335, 446.55
30000, 9010, -18201, 446.47
31000, 9277, -18063, 446.35
32000, 9543, -17916, 446.19
33000, 9800, -17775, 446.04
34000, 10059, -17629, 445.97
35000, 10292, -17476, 446.06
36000, 10570, -17313, 445.57
37000, 10805, -17163, 445.33
38000, 11056, -17000, 445.18
39000, 11295, -16835, 445.29
40000, 11540, -16664, 444.98
41000, 11771, -16497, 444.81
42000, 12003, -16323, 444.62
43000, 12234, -16150, 444.59
44000, 12460, -15967, 444.21
45000, 12683, -15787, 443.93
46000, 12904, -15604, 443.71
47000, 13120, -15415, 443.78
48000, 13329, -15229, 443.48
49000, 13539, -15036, 443.25
50000, 13743, -14838, 443.04
